fecha,abrir,max,min,cerrar,cierre_ajustado,volumen,retorno_log_diario,media_movil_7d,media_movil_30d,volatilidad_7d,volatilidad_30d
2021-03-30,49071.73,50642.14,48656.43,5025709,50257.09,46415513387,0.023867303577062033,4098098.4285714286,3940103.8666666667,1.339244626369996,1.2876304101921374
2021-03-31,50267.82,51103.47,49192.61,5024056,50240.56,55870132689,-0.00032896291901492343,4177597.4285714286,3970265.1,1.3391113152404597,1.211170885424187
2021-05-01,48017.5,48626.09,47464.64,4811005,48110.05,35637765742,-0.04333157359884255,4237636.285714285,4117287.7,1.3392576613303435,1.1280748731213865
2021-05-02,48108.23,48172.06,46707.26,4708857,47088.57,31744398004,-0.021460798583039006,4242481.0,4260265.333333333,1.3391153397155033,1.1282190385129063
2021-05-03,47079.59,48963.95,47073.02,4743277,47432.77,42882603410,0.007283043626778862,4242114.428571428,4283112.766666667,1.3391050035560585,1.0497615910943063
2021-05-04,47444.29,47444.29,44272.71,4438726,44387.26,57063525891,-0.06636084871257143,4808401.285714285,4294148.533333333,0.8896774634852608,1.049841518558855
2021-05-05,44319.54,48266.92,44082.38,4782306,47823.06,57664584035,0.07455545861830436,4790562.285714285,4316734.333333333,0.04623914564296175,1.0499233046822154
2021-05-06,47837.46,48438.11,45928.21,4674256,46742.56,57622289161,-0.022852851260409306,4740354.714285715,4329422.9,0.04495377720668158,1.0499074770967245
2021-05-07,46757.01,48207.12,45848.59,4715551,47155.51,56262963885,0.0087957646485387,4696282.571428572,4471912.433333334,0.04542286238920277,0.95771189628138
2021-05-08,47152.52,48888.77,46842.11,4834546,48345.46,53754552145,0.024921455501516015,4699645.571428572,4479456.466666667,0.044145933597080564,0.8566002849379024
2021-05-09,48405.98,48680.17,46436.62,4784652,47846.52,54152166217,-0.010373930853432899,4710473.428571428,4482380.433333334,0.043411233840463796,0.8565964461364549
2021-05-10,47861.77,48969.01,44531.68,4601048,46010.48,59120762102,-0.03912919135385004,4690155.0,4474924.066666666,0.04598782698926709,0.8566114739847488
2021-05-11,46000.14,46813.1,44963.07,4669253,46692.53,50483479328,0.014714998079261434,4723087.428571428,4470689.366666666,0.0371219446962912,0.8566161569579743
2021-05-12,46700.73,47802.06,40695.51,4069551,40695.51,62276624480,-0.13746642775429488,4621265.285714285,4435555.933333334,0.055154312387282585,0.8568736719193347
2021-05-13,41179.79,42440.09,38911.72,411667,41166.7,80088403142,-2.2910731828304485,4012324.0,4432736.733333333,0.8589897443253567,0.8528308997032865
2021-05-14,41139.2,42387.12,40433.86,4107278,41072.78,45895537365,2.300301030866434,3925427.8571428573,4413391.166666667,1.3265902268483123,0.8578532436675976
2021-05-15,41052.16,41692.8,38419.66,3849874,38498.74,48708651090,-0.06472010150311931,3784760.4285714286,4382630.033333333,1.3265200283802954,0.8579116987334685
2021-05-16,38462.88,40935.66,36193.97,3823589,38235.89,52714920923,-0.006850910158049939,3647465.714285714,4346316.733333333,1.3265305061431536,0.8578846054034338
2021-05-17,38202.84,38381.21,34720.69,3581409,35814.09,61615957700,-0.06543321193225288,3501803.0,4303876.8,1.3265912163480686,0.8579478999444917
2021-05-18,35773.41,37621.7,34661.67,351068,35106.8,45970310804,-2.322531640487311,2884919.4285714286,4152779.2666666666,1.5814189165245172,0.9561474497277305
2021-05-19,35135.9,35623.29,25122.69,304032,30403.2,103822637268,-0.14384697787160097,2346988.1428571427,4000205.966666667,1.5812645944385586,0.9560547457384413
2021-05-20,30198.8,34775.45,28776.1,3335914,33359.14,72212157773,2.3953690247455057,2764737.714285714,3950052.4,1.6241489605742299,1.058580031395436
2021-05-21,33207.17,34471.41,27599.71,3062782,30627.82,67365854372,-0.0854230515234626,2615524.0,3899813.7666666666,1.3635829901406706,1.0586332878623375
2021-05-22,30682.29,31880.99,29050.64,3081825,30818.25,47107774121,0.006198300710722194,2505802.714285714,3848440.3666666667,1.363648806221418,1.0586294005607508
2021-05-23,30813.99,31436.14,25635.58,2854554,28545.54,64420763233,-0.07660634023303778,2367369.1428571427,3794673.4,1.3636910732225762,1.0586862752747832
2021-05-24,28487.89,32608.73,28367.06,316892,31689.2,55148369255,-2.198109870902483,1901009.5714285714,3658878.7,1.5894167674167212,1.1312401271058476
2021-05-25,31762.73,32553.68,29847.7,3135695,31356.95,45899277730,2.2920450972658215,2298813.4285714286,3607570.4,1.5901741643900975,1.2118093719713519
2021-05-26,31349.11,33317.41,30937.23,3222953,32229.53,42115156993,0.0274471799347668,2715802.1428571427,3556807.4,1.5832787739850342,1.211821489500801
2021-05-27,32248.14,33136.61,30561.31,3152404,31524.04,35439432785,-0.022132683668973984,2689586.4285714286,3646063.6,1.2973786156246165,1.1321666024625776
2021-05-28,31581.54,31880.82,28524.93,2927832,29278.32,45273872634,-0.07390311896730174,2670307.8571428573,3580085.3666666667,1.2972714622736394,1.0477007481978897
2021-05-29,29267.29,30538.73,27634.85,2839116,28391.16,37097255900,-0.030769481290094193,2635635.1428571427,3507198.933333333,1.2972866968590329,1.047674360191871
2021-05-30,28384.06,29854.85,27492.8,2926952,29269.52,25961716928,0.03046887241822908,2645977.714285714,3437295.466666667,1.2970253213565017,1.0477084112422197
2021-05-31,29253.49,30627.6,28073.39,3051931,30519.31,31890238366,0.04181289650893001,3036697.5714285714,3378659.6666666665,0.86899654422121,1.0477527732607026
2021-06-01,30487.38,30987.25,29266.43,3002679,30026.79,28352541166,-0.016269614859999077,3017695.285714286,3321787.066666667,0.04148211666262054,1.047752127339947
2021-06-02,30039.07,31297.4,29425.51,3077501,30775.01,27085867000,0.02461301383466787,2996916.4285714286,3266261.2,0.04111123404643269,1.0477696125244762
2021-06-03,30794.86,32362.99,30512.01,3232155,32321.55,29231892311,0.04903119341420409,3008309.4285714286,3226042.1666666665,0.045222581856560494,1.0477841661235219
2021-06-04,32349.35,32349.35,29476.16,303227,30322.7,34380052740,-2.3664226764764185,2633365.8571428573,3076739.533333333,0.9011403004974134,1.1323131933564545
2021-06-05,30310.99,31165.55,28685.56,2922108,29221.08,29556026133,2.2655788526778156,2645221.8571428573,3018334.6,1.3378238832816063,1.2114456943685097
2021-06-06,29210.11,29948.04,29023.33,2947439,29474.39,23763233981,0.008631384079475392,2648148.5714285714,2959397.533333333,1.3377776502534806,1.211445580318417
2021-06-07,29452.11,30251.6,27464.54,2752649,27526.49,27627564851,-0.06837293695426662,2605394.0,2890000.966666667,1.3378655860879567,1.211457547552777
2021-06-08,27550.13,27898.21,25546.29,2749793,27497.93,40994783948,-0.0010380846382291606,2569267.4285714286,2822172.3333333335,1.3378750784094973,1.2114609788441844
2021-06-09,27452.21,30822.65,26666.55,3066453,30664.53,44317811472,0.10899588292842842,2567689.1428571427,2771019.1666666665,1.3386458687215814,1.2116756803889361
2021-06-10,30700.98,31523.43,29443.96,3015049,30150.49,35796883045,-0.01690543692644786,2536674.0,2715879.033333333,1.3384711093379764,1.2116640204319526
2021-06-11,30145.91,30952.9,29583.45,3083205,30832.05,31959597293,0.022353558248345,2933813.714285714,2683000.8333333335,0.854580874109656,1.2114564143508721
2021-06-12,30836.8,30893.6,28679.75,2936051,29360.51,31319155285,-0.04890415919478919,2935805.5714285714,2767146.966666667,0.05745200095474241,1.1324136582960689
2021-06-13,29363.22,32476.57,28792.0,3228651,32286.51,33584024683,0.09499892176330825,2975978.714285714,2737859.4,0.0677883989612794,1.0509900883700949
2021-06-14,32219.71,33787.61,32036.11,3317852,33178.52,35595999202,0.027253182652648318,3056722.0,2720125.3333333335,0.057508512317186546,1.0509531425211327
2021-06-15,33350.68,34060.75,32670.29,3332559,33325.59,38285621503,0.004422891750545453,3139974.285714286,2703757.6666666665,0.05710547235087722,1.0509544577221563
2021-06-16,33129.65,33403.49,31836.45,3196933,31969.33,32690112796,-0.04154856462933696,3158614.285714286,2690941.8,0.04906187963787592,1.050915816004781
2021-06-17,31964.63,33063.34,31455.69,3194306,31943.06,31139872254,-0.0008220628732367096,3184222.4285714286,2785716.4,0.04818168871738664,0.9554209163570939
2021-06-18,31981.65,32063.86,29697.77,3016586,30165.86,30514524304,-0.057244121482833685,3174705.4285714286,2876134.8666666667,0.05340785382342977,0.9548719150577185
2021-06-19,30222.57,30728.86,29443.71,3001923,30019.23,26303398991,-0.004872645039345208,3184115.714285714,2865001.8333333335,0.04957209749114709,0.8485082207312882
2021-06-20,29974.78,30407.74,28178.59,3007178,30071.78,30885305655,0.0017490141502395848,3152476.714285714,2863148.3666666667,0.029073300431947766,0.8483673072902109
2021-06-21,30023.64,30090.09,26268.65,2659106,26591.06,44330653066,-0.12301212138853237,3058370.1428571427,2849057.7333333334,0.046876090044292815,0.8486594862377853
2021-06-22,26545.47,27878.63,24278.27,272324,27232.4,49398801919,-2.278752721180425,2621193.714285714,2762983.4,0.8482138064929713,0.9448590990243833
2021-06-23,27240.82,29078.56,26618.44,2826658,28266.58,38822908066,2.339857840196625,2568297.285714286,2846642.2666666666,1.334411251955713,0.9569647257650343
2021-06-24,28232.86,29537.81,27162.22,290597,29059.7,27769406264,-2.274912946461193,2153481.714285714,2751805.6666666665,1.5832657928318008,0.955030952293509
2021-06-25,29056.91,29710.1,26262.51,2650284,26502.84,33701267547,2.210484655435105,2101152.8571428573,2732716.7,1.8592957697201997,1.042597138095554
2021-06-26,26466.72,27343.61,25288.42,269655,26965.5,32326643063,-2.2852787188828256,1710828.857142857,2636625.066666667,2.046831626805312,1.1225743220297417
2021-06-27,27050.33,29021.04,26869.56,2901374,29013.74,29735530456,2.375796332707012,1695714.0,2635743.1333333333,2.295320447841974,1.2089534297182318
2021-06-28,29038.42,29497.72,28473.47,288663,28866.3,28412102661,-2.3076797791383696,1357079.2857142857,2550728.033333333,2.456862768654223,1.280298106779891
2021-06-29,28900.86,30720.15,28753.52,3013998,30139.98,31848900087,2.3457627978810827,1748747.0,2553629.566666667,2.4632525627133672,1.3545780808258479
2021-06-30,30174.11,30306.33,28768.81,2955505,29555.05,28726957762,-0.01959790359209745,1767153.7142857143,2550415.3666666667,2.300596577270474,1.3545606434172006
2021-07-01,29550.96,29550.96,27761.31,2834141,28341.41,31943458371,-0.041930640011835864,2130517.1428571427,2544797.433333333,2.075341054503783,1.3545786744077475
2021-07-02,28322.4,28654.99,27679.82,2856931,28569.31,32641787035,0.008009078719286957,2160038.1428571427,2537445.1,1.9015913158243503,1.3545708492308366
2021-07-03,28533.39,29422.43,28152.66,2921955,29219.55,20551434327,0.022504941049812103,2538938.1428571427,2527105.1,1.615753740536237,1.3545447234207344
2021-07-04,29217.04,30280.46,28990.25,2976408,29764.08,21022831221,0.018464291548892425,2549657.285714286,2616211.1333333333,1.3435617923549639,1.2789514519337088
2021-07-05,29761.18,29761.18,27983.94,2844403,28444.03,22523224003,-0.045364000617485765,2914763.0,2613620.966666667,0.890689307011907,1.210284391581953
2021-07-06,28425.07,29579.67,28427.51,289577,28957.7,22415984656,-2.2846872452446543,2525560.0,2525025.566666667,0.8603234559460292,1.2800747723900303
2021-07-07,28949.65,29601.76,28694.3,2870789,28707.89,21025989867,2.293920946395896,2513457.714285714,2528963.566666667,1.3220234432699125,1.3513205042778118
2021-07-08,28736.96,28757.3,27150.16,2775271,27752.71,25248203553,-0.03383850479403416,2505047.714285714,2529812.8333333335,1.321988442880746,1.3513358148395684
2021-07-09,27739.46,28662.38,27293.29,2845488,28454.88,23098660464,0.02498618177926327,2503413.0,2522447.3333333335,1.3220275756407576,1.3511898543885434
2021-07-10,28466.02,28802.8,27882.49,2822307,28223.07,19341490472,-0.008179946259942733,2489177.5714285714,2516022.6,1.3219891709681348,1.3511875841453156
2021-07-11,28213.44,29119.49,28076.75,2884089,28840.89,16937803944,0.021654443256150045,2475989.1428571427,2509385.4,1.3219991405967197,1.351187152061547
2021-07-12,28852.54,29151.09,27565.92,2794856,27948.56,20501686427,-0.031428494155946105,2468911.0,2504678.9,1.3219378410382991,1.3511701009520927
2021-07-13,27922.95,28141.9,27391.37,277722,27772.2,16238387526,-2.308915250332465,2467217.4285714286,2406314.6,1.328922261253374,1.4150142953497737
2021-07-14,27790.73,27938.83,26849.88,2773748,27737.48,18064857618,2.301334139843974,2453354.4285714286,2388177.8,1.33106176033031,1.480454625633953
2021-07-15,27742.15,28025.53,26415.4,2690646,26906.46,18033620233,-0.030418160737341247,2441265.1428571427,2366780.7,1.3310499998459733,1.4804598569511023
2021-07-16,26957.95,27281.77,26353.81,2661624,26616.24,20075115913,-0.010844850667521784,2414998.8571428573,2348937.066666667,1.3309869446791396,1.4804458568045071
2021-07-17,26595.72,27051.98,26448.91,2671071,26710.71,16005403695,0.0035430527650737917,2393393.714285714,2331495.9,1.3309963201788293,1.4804466088033446
2021-07-18,26711.41,27444.22,26441.71,2691781,26917.81,15905101628,0.0077235407395818455,2365921.1428571427,2320669.066666667,1.3309552350770926,1.4804165252665835
2021-07-19,26920.52,27015.61,25876.18,2613454,26134.54,17329375882,-0.02953033822105073,2340006.5714285714,2307720.1,1.330950301266366,1.4804239877342953
2021-07-20,26151.88,26284.1,24936.05,2529985,25299.85,19647763124,-0.032459344229534476,2661758.4285714286,2291813.6666666665,0.8757722867131623,1.4804320877036956
